merk,merk_rasa,kemasan,sajian,berat,kalori,lemak_total,karbohidrat,protein,lemak_jenuh,lemak_trans,ltj_ganda,ltj_tunggal,kolesterol,serat,gula,sodium,kalium
ABC,ABC Spicy Mayo Cheese,bungkus,goreng,85,370,13,55,8,5,0,0,0,0,5,5,880,100
ABC,ABC Cup Kari Ayam,cup,kuah,60,280,13,35,7,6,0,0,0,0,5,1,1090,0
ABC,ABC Sup Tomat Pedas,bungkus,kuah,70,320,13,44,7,6,0,0,0,0,2,1,1290,0
Sukses's,Sukses's Isi 2 Ayam Kremes,bungkus,goreng,133,600,22,88,14,11,10,0,0,0,8,10,1220,0
Sukses's,Sukses's Isi 2 Ayam Kecap,bungkus,goreng,129,570,21,82,14,10,0,0,0,0,7,9,1170,0
Sukses's,Sukses's Isi 2 Kari Ayam,bungkus,kuah,116,510,21,70,13,9,0,0,0,0,9,4,1170,0
Nissin,Gekikara Ramen Goreng,bungkus,goreng,120,550,23,71,12,11,0,0,0,0,3,6,1390,0
Nissin,Gekikara Ramen,bungkus,kuah,120,550,23,72,13,8,0,0,0,0,5,0,1200,0
Nissin,Gekikara Ramen Hot Carbonara,bungkus,kuah,120,540,21,78,10,10,0,0,0,0,5,7,1310,0
Nissin,Gekikara Ramen Hot Mushroom,bungkus,kuah,109,500,18,74,9,9,0,0,0,0,6,4,1200,0
Nissin,Gekikara Ramen Hot Chicken,bungkus,kuah,80,360,14,52,7,6,0,0,0,0,4,5,1030,0
Nissin,Gekikara Ramen Rasa Pedas,bungkus,kuah,109,500,18,74,9,9,0,0,0,0,6,4,1200,0
Nissin,Yakisoba Takoyaki Ala Jepang,bungkus,goreng,104,470,18,68,10,9,0,0,0,0,3,4,910,0
Nissin,Uma-kara Spicy Ramen,bungkus,kuah,106,460,17,66.9,10.8,8.8,0,0,0,0,0,5.4,1950,0
Nissin,Mikuya Ramen Tori Kara,bungkus,kuah,120,540,21,75,11,11,0,0,0,0,3,5,1090,0
Nissin,Mikuya Ramen Iya-Iya,bungkus,kuah,120,560,26,70,11,11,0,0,0,0,4,8,2440,0
Nissin,Mikuya Ramen Kecap Pedas,bungkus,kuah,94,430,17,60,8,8,0,0,0,0,3,6,1500,0
Nissin,Mikuya Kaldu Ayam,bungkus,kuah,83,380,14,56,7,0,8,0,0,0,2,3,1090,0
Samyang,Samyang Spicy Chicken Noodles,bungkus,goreng,140,530,16,85,12,8,0,0,0,0,0,7,1280,0
Samyang,Samyang Carbonara,bungkus,kuah,130,550,20,84,8,10,0,0,0,0,0,5,1330,0
Samyang,Samyang Hot Chicken Flavor Ramen 2x Spicy,bungkus,kuah,140,545,17,85,13,8,0,0,0,0,1,7,1360,0
Samyang,Samyang Cheese,bungkus,goreng,140,550,18,84,13,9,0,0,0,0,1,7,1440,0
Samyang,Samyang Jjajang,bungkus,goreng,140,560,19,84,13,9,0,0,0,3,4,8,1420,0
Samyang,Samyang Buldak Light,bungkus,goreng,110,380,3,77,10,0.5,0,0,0,0,3,5,1270,250
Samyang,Samyang Curry,bungkus,kuah,140,550,18,85,13,9,0,0,0,4,4,7,1510,300
Samyang,Samyang Kimchi Ramen,bungkus,kuah,80,360,13,53,7,7,0,0,0,0,3,4,1460,161
Pop Mie,Pop Mie Original,cup,goreng,39,180,9,22,4,4.5,0,0,0,0,2,1,500,0
Pop Mie,Pop Mie Pedes Dower,cup,kuah,75,360,16,46,6,8,0,0,0,0,3,4,1320,0
Pop Mie,Pop Mie Ayam,cup,kuah,75,320,11,46,9,6,0,0,0,0,3,5,1030,0
Pop Mie,Pop Mie Baso,cup,kuah,75,360,15,47,8,8,0,0,0,0,3,5,720,0
Pop Mie,Pop Mie Goreng Pedes Gledek,cup,goreng,75,370,18,45,6,9,0,0,0,0,2,6,930,0
Pop Mie,Pop Mie Kari Ayam,cup,kuah,75,340,15,44,8,7,0,0,0,0,4,7,830,0
Pop Mie,Pop Mie Soto Ayam,cup,kuah,77,360,16,45,8,8,0,0,0,0,3,6,960,0
Pop Mie,Pop Mie Mini,cup,goreng,38,160,6,23,3,3,7,0,0,0,1,3,600,0
Pop Mie,Pop Mie Ayam Bawang,cup,kuah,75,320,13,45,7,7,0,0,0,0,3,4,1320,0
Pop Mie,Pop Mie Goreng Spesial,cup,goreng,80,390,18,53,6,8,0,0,0,0,3,5,910,0
Pop Mie,Pop Mie Goreng Pedas,cup,goreng,80,370,17,49,6,8,0,0,0,0,6,4,950,0
